t,x,y,rho,u,v,P,e
0.182625,0.0252525,0.156566,1,0.75,0,1,2.5
0.182625,0.0252525,0.166667,1,0.75,0,1,2.5
0.182625,0.0252525,0.176768,1,0.75,0,1,2.5
0.182625,0.0252525,0.186869,1,0.75,0,1,2.5
0.182625,0.0252525,0.19697,1,0.75,0,1,2.5
0.182625,0.0252525,0.207071,1,0.75,0,1,2.5
0.182625,0.0252525,0.217172,1,0.75,0,1,2.5
0.182625,0.0252525,0.227273,1,0.75,0,1,2.5
0.182625,0.0252525,0.237374,1,0.75,0,1,2.5
0.182625,0.0252525,0.247475,1,0.75,0,1,2.5
0.182625,0.0252525,0.257576,1,0.75,0,1,2.5
0.182625,0.0252525,0.267677,1,0.75,0,1,2.5
0.182625,0.0252525,0.277778,1,0.75,0,1,2.5
0.182625,0.0252525,0.287879,1,0.75,0,1,2.5
0.182625,0.0252525,0.29798,1,0.75,0,1,2.5
0.182625,0.0252525,0.308081,1,0.75,0,1,2.5
0.182625,0.0252525,0.318182,1,0.75,0,1,2.5
0.182625,0.0252525,0.328283,1,0.75,0,1,2.5
0.182625,0.0252525,0.338384,1,0.75,0,1,2.5
0.182625,0.0252525,0.348485,1,0.75,0,1,2.5
0.182625,0.0252525,0.358586,1,0.75,0,1,2.5
0.182625,0.0252525,0.368687,1,0.75,0,1,2.5
0.182625,0.0252525,0.378788,1,0.75,0,1,2.5
0.182625,0.0252525,0.388889,1,0.75,0,1,2.5
0.182625,0.0252525,0.39899,1,0.75,0,1,2.5
0.182625,0.0252525,0.409091,1,0.75,0,1,2.5
0.182625,0.0252525,0.419192,1,0.75,0,1,2.5
0.182625,0.0252525,0.429293,1,0.75,0,1,2.5
0.182625,0.0252525,0.439394,1,0.75,0,1,2.5
0.182625,0.0252525,0.449495,1,0.75,0,1,2.5
0.182625,0.0252525,0.459596,1,0.75,0,1,2.5
0.182625,0.0252525,0.469697,1,0.75,0,1,2.5
0.182625,0.0252525,0.479798,1,0.75,0,1,2.5
