time,x,rho,u,P,e
0.0753442,-0.0252525,1,-2,0.4,1
0.0753442,-0.0151515,1,-2,0.4,1
0.0753442,-0.00505051,1,-2,0.4,1
0.0753442,0.00505051,1,-2,0.4,1
0.0753442,0.0151515,1,-2,0.4,1
0.0753442,0.0252525,1,-2,0.4,1
0.0753442,0.0353535,1,-2,0.4,1
0.0753442,0.0454545,1,-2,0.4,1
0.0753442,0.0555556,1,-2,0.4,1
0.0753442,0.0656566,1,-2,0.4,1
0.0753442,0.0757576,1,-2,0.4,1
0.0753442,0.0858586,1,-2,0.4,1
0.0753442,0.0959596,1,-2,0.4,1
0.0753442,0.106061,1,-2,0.4,1
0.0753442,0.116162,1,-2,0.4,1
0.0753442,0.126263,1,-2,0.4,1
0.0753442,0.136364,1,-2,0.4,1
0.0753442,0.146465,0.999999,-2,0.4,1
0.0753442,0.156566,0.999996,-2,0.399998,0.999998
0.0753442,0.166667,0.999981,-1.99999,0.39999,0.999993
0.0753442,0.176768,0.99993,-1.99995,0.399961,0.999972
0.0753442,0.186869,0.999766,-1.99982,0.399869,0.999907
0.0753442,0.19697,0.999311,-1.99948,0.399615,0.999726
0.0753442,0.207071,0.998191,-1.99865,0.398991,0.999284
0.0753442,0.217172,0.995736,-1.99682,0.397627,0.998324
0.0753442,0.227273,0.990901,-1.99323,0.394957,0.996458
0.0753442,0.237374,0.982288,-1.98684,0.390243,0.993198
0.0753442,0.247475,0.968303,-1.97648,0.382687,0.988035
0.0753442,0.257576,0.947429,-1.96099,0.371604,0.980558
0.0753442,0.267677,0.918521,-1.93942,0.35659,0.970555
0.0753442,0.277778,0.881033,-1.91111,0.337638,0.958073
0.0753442,0.287879,0.835105,-1.87576,0.315135,0.9434
0.0753442,0.29798,0.781521,-1.83336,0.289788,0.927002
0.0753442,0.308081,0.721574,-1.78408,0.262492,0.909442
0.0753442,0.318182,0.656911,-1.72823,0.234202,0.891302
0.0753442,0.328283,0.589362,-1.66611,0.205833,0.873118
0.0753442,0.338384,0.5208,-1.59803,0.178186,0.855347
0.0753442,0.348485,0.453028,-1.52422,0.151917,0.838343
0.0753442,0.358586,0.387677,-1.44485,0.127524,0.822361
0.0753442,0.368687,0.326137,-1.36003,0.10535,0.807561
0.0753442,0.378788,0.269513,-1.26978,0.0856005,0.794029
0.0753442,0.388889,0.218597,-1.17408,0.0683593,0.781796
0.0753442,0.39899,0.173869,-1.07286,0.0536127,0.770877
0.0753442,0.409091,0.135523,-0.966166,0.0412711,0.761332
0.0753442,0.419192,0.103527,-0.85445,0.0312015,0.753466
0.0753442,0.429293,0.0776524,-0.739224,0.023241,0.74824
0.0753442,0.439394,0.0571538,-0.618262,0.0170669,0.746532
0.0753442,0.449495,0.0373925,-0.422356,0.0107004,0.715408
0.0753442,0.459596,0.0235478,-0.206577,0.00633781,0.621754
0.0753442,0.469697,0.0146941,-0.0110548,0.00369535,0.621754
0.0753442,0.479798,0.0100537,0.1609,0.0025238,0.621754
0.0753442,0.489899,0.00683143,0.13399,0.00169899,0.621754
0.0753442,0.5,0.00683143,-0.13399,0.00169899,0.621754
0.0753442,0.510101,0.0100537,-0.1609,0.0025238,0.621754
0.0753442,0.520202,0.0146941,0.0110548,0.00369535,0.621754
0.0753442,0.530303,0.0235478,0.206577,0.00633781,0.621754
0.0753442,0.540404,0.0373925,0.422356,0.0107004,0.715408
0.0753442,0.550505,0.0571538,0.618262,0.0170669,0.746532
0.0753442,0.560606,0.0776524,0.739224,0.023241,0.74824
0.0753442,0.570707,0.103527,0.85445,0.0312015,0.753466
0.0753442,0.580808,0.135523,0.966166,0.0412711,0.761332
0.0753442,0.590909,0.173869,1.07286,0.0536127,0.770877
0.0753442,0.60101,0.218597,1.17408,0.0683593,0.781796
0.0753442,0.611111,0.269513,1.26978,0.0856005,0.794029
0.0753442,0.621212,0.326137,1.36003,0.10535,0.807561
0.0753442,0.631313,0.387677,1.44485,0.127524,0.822361
0.0753442,0.641414,0.453028,1.52422,0.151917,0.838343
0.0753442,0.651515,0.5208,1.59803,0.178186,0.855347
0.0753442,0.661616,0.589362,1.66611,0.205833,0.873118
0.0753442,0.671717,0.656911,1.72823,0.234202,0.891302
0.0753442,0.681818,0.721574,1.78408,0.262492,0.909442
0.0753442,0.691919,0.781521,1.83336,0.289788,0.927002
0.0753442,0.70202,0.835105,1.87576,0.315135,0.9434
0.0753442,0.712121,0.881033,1.91111,0.337638,0.958073
0.0753442,0.722222,0.918521,1.93942,0.35659,0.970555
0.0753442,0.732323,0.947429,1.96099,0.371604,0.980558
0.0753442,0.742424,0.968303,1.97648,0.382687,0.988035
0.0753442,0.752525,0.982288,1.98684,0.390243,0.993198
0.0753442,0.762626,0.990901,1.99323,0.394957,0.996458
0.0753442,0.772727,0.995736,1.99682,0.397627,0.998324
0.0753442,0.782828,0.998191,1.99865,0.398991,0.999284
0.0753442,0.792929,0.999311,1.99948,0.399615,0.999726
0.0753442,0.80303,0.999766,1.99982,0.399869,0.999907
0.0753442,0.813131,0.99993,1.99995,0.399961,0.999972
0.0753442,0.823232,0.999981,1.99999,0.39999,0.999993
0.0753442,0.833333,0.999996,2,0.399998,0.999998
0.0753442,0.843434,0.999999,2,0.4,1
0.0753442,0.853535,1,2,0.4,1
0.0753442,0.863636,1,2,0.4,1
0.0753442,0.873737,1,2,0.4,1
0.0753442,0.883838,1,2,0.4,1
0.0753442,0.893939,1,2,0.4,1
0.0753442,0.90404,1,2,0.4,1
0.0753442,0.914141,1,2,0.4,1
0.0753442,0.924242,1,2,0.4,1
0.0753442,0.934343,1,2,0.4,1
0.0753442,0.944444,1,2,0.4,1
0.0753442,0.954545,1,2,0.4,1
0.0753442,0.964646,1,2,0.4,1
0.0753442,0.974747,1,2,0.4,1
0.0753442,0.984848,1,2,0.4,1
0.0753442,0.994949,1,2,0.4,1
0.0753442,1.00505,1,2,0.4,1
0.0753442,1.01515,1,2,0.4,1
0.0753442,1.02525,1,2,0.4,1
